"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202400000135";"155 781 515";"B01";"1";"50";"0";"2";"4";"2";"3";""
"202400000136";"155 781 512";"A01";"1";"7";"0";"2";"3";"15";"1";""
"202400000136";"155 781 513";"B01";"2";"7";"0";"2";"3";"2";"1";""
"202400000137";"155 781 510";"B01";"3";"7";"0";"2";"7";"15";"1";""
"202400000137";"155 781 511";"A01";"2";"43";"0";"2";"1";"1";"1";""
"202400000138";"155 781 508";"A01";"1";"32";"12";"0";"0";"18";"1";""
"202400000138";"155 781 509";"B01";"2";"7";"0";"0";"0";"16";"1";""
"202400000139";"155 781 506";"B01";"1";"7";"0";"2";"4";"2";"1";""
"202400000139";"155 781 507";"A01";"1";"10";"0";"2";"1";"2";"1";""
"202400000140";"155 781 505";"A01";"2";"7";"5";"0";"3";"1";"1";""
"202400000141";"155 781 503";"A01";"0";"7";"0";"2";"2";"15";"1";""
"202400000141";"155 781 504";"B01";"0";"2";"0";"0";"0";"0";"1";""
"202400000142";"155 781 500";"B01";"1";"7";"1";"0";"4";"24";"1";""
"202400000142";"155 781 501";"C01";"1";"7";"1";"0";"4";"24";"1";""
"202400000142";"155 781 502";"A01";"1";"7";"1";"0";"1";"14";"1";""
"202400000143";"155 781 497";"A01";"2";"7";"0";"2";"1";"2";"1";""
"202400000143";"155 781 498";"B01";"2";"7";"0";"2";"4";"2";"2";""
"202400000143";"155 781 499";"C01";"2";"7";"0";"2";"4";"2";"1";""
"202400000144";"155 781 495";"B01";"3";"1";"0";"2";"8";"19";"5";""
"202400000144";"155 781 496";"A01";"2";"7";"0";"2";"3";"15";"1";""
"202400000145";"155 781 492";"A01";"3";"7";"0";"2";"1";"1";"1";""
"202400000145";"155 781 493";"B01";"3";"7";"0";"0";"4";"1";"1";""
"202400000146";"155 781 490";"B01";"1";"1";"0";"2";"8";"1";"5";""
"202400000146";"155 781 491";"A01";"1";"7";"0";"2";"1";"1";"2";""
"202400000147";"155 781 489";"A01";"2";"7";"0";"1";"1";"16";"1";""
"202400000148";"155 781 488";"A01";"3";"50";"0";"1";"7";"26";"3";""
"202400000149";"155 781 486";"B01";"2";"7";"0";"0";"3";"24";"2";""
"202400000149";"155 781 487";"A01";"2";"1";"1";"0";"1";"1";"5";""
"202400000150";"155 781 484";"A01";"1";"33";"0";"2";"1";"2";"1";""
"202400000150";"155 781 485";"B01";"1";"7";"0";"2";"7";"2";"3";""
"202400000151";"155 781 482";"B01";"1";"7";"0";"2";"2";"1";"1";""
"202400000151";"155 781 483";"A01";"1";"7";"0";"2";"3";"13";"1";""
"202400000152";"155 781 479";"C01";"1";"7";"0";"2";"4";"23";"1";""
"202400000152";"155 781 480";"A01";"1";"7";"0";"2";"1";"2";"1";""
"202400000152";"155 781 481";"B01";"1";"7";"0";"2";"4";"23";"2";""
"202400000153";"155 781 477";"B01";"2";"32";"0";"2";"2";"17";"1";""
"202400000153";"155 781 478";"A01";"2";"7";"0";"2";"3";"11";"1";""
"202400000154";"155 781 475";"B01";"2";"7";"0";"2";"1";"1";"1";""
"202400000154";"155 781 476";"A01";"2";"7";"0";"2";"4";"23";"1";""
"202400000155";"155 781 473";"A01";"3";"37";"0";"2";"4";"23";"1";"1"
"202400000155";"155 781 474";"B01";"3";"37";"0";"2";"1";"1";"1";"2"
"202400000156";"155 781 472";"A01";"2";"7";"0";"1";"1";"16";"0";""
"202400000157";"155 781 471";"A01";"1";"7";"0";"1";"1";"1";"1";""
"202400000158";"155 781 469";"A01";"1";"7";"0";"2";"1";"16";"1";""
"202400000158";"155 781 470";"B01";"2";"7";"0";"2";"2";"1";"1";""
"202400000159";"155 781 468";"A01";"1";"7";"2";"0";"1";"0";"1";""
"202400000160";"155 781 467";"A01";"1";"33";"4";"0";"3";"3";"1";""
"202400000161";"155 781 466";"A01";"1";"2";"13";"0";"1";"1";"1";""
"202400000162";"155 781 465";"A01";"1";"10";"13";"0";"3";"13";"1";""
"202400000163";"155 781 463";"A01";"0";"7";"0";"2";"1";"15";"1";""
"202400000163";"155 781 464";"B01";"0";"10";"0";"2";"3";"1";"1";""
"202400000164";"155 781 461";"A01";"2";"14";"0";"2";"1";"0";"1";""
"202400000164";"155 781 462";"B01";"2";"14";"0";"0";"4";"0";"1";""
"202400000165";"155 781 460";"A01";"1";"7";"2";"0";"1";"26";"1";""
"202400000166";"155 781 459";"A01";"1";"7";"2";"0";"1";"0";"1";""
"202400000167";"155 781 458";"A01";"0";"7";"13";"0";"1";"0";"1";""
"202400000168";"155 781 456";"A01";"3";"7";"0";"2";"7";"15";"1";""
"202400000168";"155 781 457";"B01";"3";"1";"0";"2";"2";"1";"5";""
"202400000169";"155 781 454";"A01";"2";"2";"0";"2";"8";"15";"1";""
"202400000169";"155 781 455";"B01";"2";"7";"0";"2";"7";"17";"1";""
"202400000170";"155 781 452";"B01";"2";"7";"0";"0";"3";"13";"1";""
"202400000170";"155 781 453";"A01";"1";"7";"0";"0";"3";"16";"1";""
"202400000171";"155 781 450";"A01";"1";"33";"3";"2";"2";"12";"1";""
"202400000171";"155 781 451";"B01";"1";"7";"0";"2";"0";"1";"1";""
"202400000172";"155 781 448";"A01";"2";"7";"0";"2";"1";"3";"1";""
"202400000172";"155 781 449";"B01";"2";"17";"0";"0";"6";"1";"1";""
