"Num_Acc";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202400013636";"22";"04";"2024";"01:50";"5";"33";"33063";"2";"4";"1";"6";"N/A";"44,83349921";" -0,57422608"
"202400013637";"21";"04";"2024";"17:20";"1";"33";"33063";"2";"3";"1";"6";"RUE JULES GUESDE";"44,82952000";" -0,56454000"
"202400013638";"22";"11";"2024";"07:50";"1";"15";"15014";"1";"1";"1";"6";"RD 117";"44,92418049";"2,47152637"
"202400013639";"21";"04";"2024";"02:25";"5";"33";"33063";"2";"1";"1";"6";"Rue Capdeville";"44,84413326";" -0,58802654"
"202400013640";"19";"04";"2024";"13:45";"1";"33";"33318";"2";"9";"1";"3";"N/A";"44,78501000";" -0,66242000"
"202400013641";"21";"11";"2024";"07:35";"3";"14";"14366";"2";"1";"4";"3";"Route de Paris";"49,14669000";"0,25898000"
"202400013642";"21";"04";"2024";"17:12";"1";"31";"31555";"2";"1";"1";"3";"PAS LOUIS PERGAUD";"43,56495000";"1,39467000"
"202400013643";"22";"11";"2024";"19:20";"5";"13";"13054";"2";"1";"1";"1";"MARECHAL JUIN (AV DU )";"43,41997801";"5,22569179"
"202400013644";"19";"04";"2024";"17:50";"1";"22";"22113";"2";"1";"1";"7";"MORLAIX (ROUTE DE)";"48,72182000";" -3,48180000"
"202400013645";"21";"04";"2024";"22:00";"5";"17";"17415";"2";"1";"1";"7";"DUFAURE AVENUE JULES";"45,74762143";" -0,61252282"
"202400013646";"22";"11";"2024";"11:50";"1";"13";"13202";"2";"3";"1";"3";"CAMILLE PELLETAN (AVENUE)";"43,30326000";"5,37394000"
"202400013647";"21";"04";"2024";"05:05";"5";"17";"17300";"2";"1";"1";"7";"DOCTEUR DANIEL PLANET";"46,14754000";" -1,15064000"
"202400013648";"22";"11";"2024";"07:19";"2";"13";"13213";"2";"6";"1";"1";"ROTONDE (PLACE DE LA)";"43,32958000";"5,41986000"
"202400013649";"22";"11";"2024";"02:30";"5";"13";"13211";"2";"1";"8";"1";"POMME (BOULEVARD DE LA )";"43,29129000";"5,44340000"
"202400013650";"21";"04";"2024";"19:15";"1";"13";"13117";"2";"3";"1";"1";"MARSEILLE ( AVENUE DE )";"43,45026000";"5,25257000"
"202400013651";"22";"11";"2024";"01:30";"5";"13";"13206";"2";"1";"1";"2";"PRADO (AVENUE DU)";"43,26619000";"5,38229000"
"202400013652";"21";"04";"2024";"18:45";"1";"13";"13210";"2";"1";"1";"3";"ROMAIN ROLLAND (BOULEVARD)";"43,27001000";"5,40626000"
"202400013653";"22";"11";"2024";"07:10";"3";"11";"11262";"2";"2";"8";"7";"N/A";"43,19022000";"3,00615000"
"202400013654";"20";"04";"2024";"15:35";"1";"13";"13028";"1";"1";"1";"1";"CD 559";"43,18284030";"5,66886493"
"202400013655";"21";"11";"2024";"18:25";"5";"11";"11069";"2";"2";"2";"6";"Rue du Manège";"43,20811000";"2,35442800"
"202400013656";"21";"04";"2024";"12:00";"1";"13";"13005";"2";"6";"1";"3";"SALENGRO (AVENUE ROGER)";"43,30383561";"5,57223327"
"202400013657";"21";"11";"2024";"18:00";"5";"11";"11069";"2";"1";"2";"3";"72 Boulevard Paul Langevin";"43,22422400";"2,33601800"
"202400013658";"21";"04";"2024";"16:30";"1";"13";"13004";"2";"2";"1";"3";"RUE MIRABEAU";"43,67539000";"4,63968000"
"202400013659";"22";"11";"2024";"17:40";"5";"10";"10333";"2";"3";"4";"3";"Avenue d'Echenilly";"48,28036000";"4,04532000"
