"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202400000127";"155781526";"A01";"2";"7";"0";"2";"2";"15";"1";""
"202400000127";"155781527";"B01";"1";"10";"0";"2";"1";"1";"1";""
"202400000128";"155781525";"A01";"2";"7";"15";"0";"1";"14";"1";""
"202400000129";"155781524";"A01";"2";"7";"0";"1";"2";"1";"1";""
"202400000130";"155781522";"A01";"1";"7";"0";"9";"7";"17";"1";""
"202400000130";"155781523";"B01";"1";"50";"0";"2";"8";"2";"3";""
"202400000131";"155781520";"A01";"3";"7";"0";"2";"2";"19";"1";""
"202400000131";"155781521";"B01";"1";"7";"0";"2";"1";"2";"1";""
"202400000132";"155781519";"A01";"1";"7";"0";"1";"2";"1";"1";""
"202400000133";"155781518";"A01";"3";"7";"6";"0";"1";"26";"1";""
"202400000134";"155781516";"B01";"1";"2";"0";"2";"3";"9";"1";""
"202400000134";"155781517";"A01";"2";"1";"0";"2";"1";"25";"5";""
"202400000135";"155781514";"A01";"1";"7";"0";"2";"1";"9";"1";""
"202400000135";"155781515";"B01";"1";"50";"0";"2";"4";"2";"3";""
"202400000136";"155781512";"A01";"1";"7";"0";"2";"3";"15";"1";""
"202400000136";"155781513";"B01";"2";"7";"0";"2";"3";"2";"1";""
"202400000137";"155781510";"B01";"3";"7";"0";"2";"7";"15";"1";""
"202400000137";"155781511";"A01";"2";"43";"0";"2";"1";"1";"1";""
"202400000138";"155781508";"A01";"1";"32";"12";"0";"0";"18";"1";""
"202400000138";"155781509";"B01";"2";"7";"0";"0";"0";"16";"1";""
"202400000139";"155781506";"B01";"1";"7";"0";"2";"4";"2";"1";""
"202400000139";"155781507";"A01";"1";"10";"0";"2";"1";"2";"1";""
"202400000140";"155781505";"A01";"2";"7";"5";"0";"3";"1";"1";""
"202400000141";"155781503";"A01";"0";"7";"0";"2";"2";"15";"1";""
"202400000141";"155781504";"B01";"0";"2";"0";"0";"0";"0";"1";""
"202400000142";"155781500";"B01";"1";"7";"1";"0";"4";"24";"1";""
"202400000142";"155781501";"C01";"1";"7";"1";"0";"4";"24";"1";""
"202400000142";"155781502";"A01";"1";"7";"1";"0";"1";"14";"1";""
"202400000143";"155781497";"A01";"2";"7";"0";"2";"1";"2";"1";""
"202400000143";"155781498";"B01";"2";"7";"0";"2";"4";"2";"2";""
