"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"CNIT";"Catégorie véhicule";"Age véhicule"
"67 230 662";"A";"2024";"Métropole";"N/A";"VT";"12"
"67 230 663";"A";"2024";"Métropole";"N/A";"VT";"16"
"67 230 665";"A";"2024";"Métropole";"M10PGTVP000H317";"VT";"14"
"67 230 666";"A";"2024";"Métropole";"M10FATVP305P908";"VT";"0"
"67 230 666";"B";"2024";"Métropole";"L3ESUZM2001H308";"Moto lourde";"1"
"67 230 667";"A";"2024";"Métropole";"M10JT0VP0546443";"VT";"2"
"67 230 669";"A";"2024";"Métropole";"N/A";"VT";"21"
"67 230 669";"B";"2024";"Métropole";"N/A";"VT";"19"
"67 230 670";"A";"2024";"Métropole";"M10SETVP000X041";"VT";"14"
"67 230 670";"B";"2024";"Métropole";"M10MTSVP004W865";"VT";"1"
"67 230 671";"A";"2024";"Métropole";"N/A";"VT";"21"
"67 230 672";"A";"2024";"Métropole";"M10RENVPA66X138";"VT";"4"
"67 230 672";"B";"2024";"Métropole";"MPE5212TN326";"VT";"16"
"67 230 673";"A";"2024";"Métropole";"M10PGTVP0484292";"VT";"6"
"67 230 674";"B";"2024";"Métropole";"M10CTRVP000G803";"VT";"12"
"67 230 675";"A";"2024";"Métropole";"N/A";"VT";"29"
"67 230 676";"A";"2024";"Métropole";"N/A";"VT";"17"
"67 230 677";"A";"2024";"Métropole";"N/A";"Cyclo";"4"
"67 230 678";"B";"2024";"Métropole";"MVW16J4KQB06";"VT";"16"
"67 230 678";"Z";"2024";"Métropole";"M10PGTVP0791075";"VT";"5"
"67 230 679";"A";"2024";"Métropole";"LMP91C107100";"Cyclo";"15"
"67 230 679";"B";"2024";"Métropole";"M10NSSVP006N563";"VT";"11"
"67 230 680";"A";"2024";"Métropole";"M10VWGVP000C583";"VT";"13"
"67 230 681";"A";"2024";"Métropole";"M10JT0VP011G557";"VT";"8"
"67 230 681";"B";"2024";"Métropole";"M10AUDVP0102636";"VT";"8"
"67 230 681";"C";"2024";"Métropole";"M10JT0VP064N935";"VT";"0"
"67 230 682";"A";"2024";"Métropole";"L3EAPRM20006570";"Moto lourde";"0"
"67 230 683";"A";"2024";"Métropole";"M1GLDRVP002L093";"VT";"3"
"67 230 684";"A";"2024";"Métropole";"LDC18N406150";"Moto lourde";"14"
"67 230 685";"A";"2024";"Métropole";"M10VWGVPAM3T228";"VT";"0"
"67 230 686";"A";"2024";"Métropole";"N/A";"VT";"3"
