"Num_Acc";"id_usager";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202400003659";"203979944";"155775365";"B01";"1";"1";"4";"1";"1989";"1";"1";"0";" -1";" -1";" -1";" -1"
"202400003660";"203979937";"155775360";"B01";"1";"1";"4";"2";"2003";"5";"1";" -1";" -1";" -1";" -1";" -1"
"202400003660";"203979939";"155775361";"A01";"1";"1";"1";"1";"2004";"5";"1";" -1";" -1";" -1";" -1";" -1"
"202400003661";"203979935";"155775358";"A01";"1";"1";"1";"1";"1996";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400003661";"203979936";"155775359";"B01";"1";"1";"4";"1";"2001";"0";"2";"0";" -1";" -1";" -1";" -1"
"202400003662";"203979929";"155775356";"A01";"10";"3";"3";"1";"2008";"2";"0";" -1";" -1";"3";"3";"1"
"202400003662";"203979931";"155775356";"A01";"1";"1";"1";"2";"1967";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400003663";"203979928";"155775355";"B01";"2";"2";"1";"1";"1999";"4";"1";"8";" -1";"0";"0";" -1"
"202400003663";"203979930";"155775355";"B01";"3";"2";"4";"1";"1990";"4";"8";"0";" -1";"0";"0";" -1"
"202400003663";"203979932";"155775355";"B01";"4";"2";"4";"1";"1980";"4";"1";"8";" -1";"0";"0";" -1"
"202400003663";"203979933";"155775355";"B01";"1";"1";"1";"1";"1985";"4";"1";"8";" -1";"0";"0";" -1"
"202400003663";"203979934";"155775357";"A01";"1";"1";"1";"1";"1979";"5";"1";"8";" -1";"0";"0";" -1"
"202400003664";"203979924";"155775353";"A01";"1";"1";"4";"1";"2005";"0";"2";"6";" -1";" -1";" -1";" -1"
"202400003664";"203979927";"155775354";"B01";"1";"1";"1";"1";"1971";"1";"1";"0";" -1";" -1";" -1";" -1"
"202400003665";"203979923";"155775352";"A01";"3";"2";"4";"1";"1985";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400003665";"203979925";"155775352";"A01";"1";"1";"3";"2";"1979";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400003665";"203979926";"155775352";"A01";"2";"2";"4";"2";"1988";"0";"1";"0";" -1";" -1";" -1";" -1"
